cover,title,author,publisher,isbn,timestamp,activity,details,library
https://img1.od-cdn.com/ImageType-100/1694-1/{1EF370D8-CFC6-45A8-9DBD-0E1D9C56361D}IMG100.JPG,Even Though I Knew the End,C.L. Polk,"Recorded Books, Inc.",9781705051771,"January 19, 2023 01:34",Returned, 17 days  early,Spokane Public Library
https://img1.od-cdn.com/ImageType-100/1219-1/{6DD9C963-FFD8-4D1B-AAE4-79C8813A1CD4}Img100.jpg,Covet,Tracy Wolff,"Tantor Media, Inc.",9781705219645,"January 19, 2023 01:34",Returned, 18 days  early,Spokane Public Library
https://img1.od-cdn.com/ImageType-100/0439-1/{35A488C5-A042-46A6-BD3D-5D7F8395CE7F}IMG100.JPG,Blood Like Magic,Liselle Sambury,Margaret K. McElderry Books,9781534465305,"January 19, 2023 01:33",Returned, 15 days  early,Spokane Public Library
https://img1.od-cdn.com/ImageType-100/1694-1/{937D1040-5B83-4F36-B623-3710EF53E5B5}IMG100.JPG,Network Effect,Martha Wells,"Recorded Books, Inc.",9781980021711,"January 19, 2023 01:28",Returned, 6 days  early,Spokane Public Library
https://img1.od-cdn.com/ImageType-100/0111-1/{08EBF66D-F705-4DCE-AE80-32F8B8DFCD97}Img100.jpg,When Women Were Dragons,Kelly Barnhill,Knopf Doubleday Publishing Group,9780385548236,"January 18, 2023 01:06",Returned, 4 days  early,Spokane Public Library
https://img1.od-cdn.com/ImageType-100/1191-1/{DF1B8FC5-DC96-4D0B-9926-70DDB547F82A}Img100.jpg,When Women Were Dragons,Kelly Barnhill,Books on Tape,9780593589311,"January 16, 2023 07:27",Returned, 3 days  early,Spokane Public Library
https://img1.od-cdn.com/ImageType-100/1219-1/{6DD9C963-FFD8-4D1B-AAE4-79C8813A1CD4}Img100.jpg,Covet,Tracy Wolff,"Tantor Media, Inc.",9781705219645,"January 16, 2023 07:09",Borrowed, 21 days ,Spokane Public Library
https://img1.od-cdn.com/ImageType-100/1694-1/{1EF370D8-CFC6-45A8-9DBD-0E1D9C56361D}IMG100.JPG,Even Though I Knew the End,C.L. Polk,"Recorded Books, Inc.",9781705051771,"January 15, 2023 04:26",Borrowed, 21 days ,Spokane Public Library
https://img1.od-cdn.com/ImageType-100/0293-1/{FE3EEE7F-2DDD-4E12-998A-38C5A43B948D}Img100.jpg,The Song of Achilles,Madeline Miller,HarperAudio,9780062115577,"January 15, 2023 00:33",Placed on hold,"",Spokane Public Library
https://img1.od-cdn.com/ImageType-100/0293-1/{98029A86-A1E8-44F8-A93F-374C36D16C2C}IMG100.JPG,Truly Devious,Maureen Johnson,HarperCollins,9780062338075,"January 13, 2023 05:02",Placed on hold,"",Spokane Public Library
