,cover,title,author,publisher,isbn,timestamp,activity,details,library,return_date,due_date,score,number_of_pages
136,https://img1.od-cdn.com/ImageType-100/4575-1/{939047A6-52C9-4F45-A152-74F370A20013}IMG100.JPG,Sword of Destiny,Andrzej Sapkowski,Hachette Audio,9781478934912,"June 18, 2022 3:52",Borrowed,21 days,Spokane Public Library,"June 21, 2022 5:21",2022-07-09 3:52:00,3,384
137,https://img1.od-cdn.com/ImageType-100/0111-1/{44D53B09-70BB-48B2-A746-D4C0846B7F97}Img100.jpg,Brisingr,Christopher Paolini,Random House Children's Books,9780375891410,"June 17, 2022 13:05",Borrowed,21 days,Spokane Public Library,"July 03, 2022 15:28",2022-07-08 13:05:00,16,763
138,https://img1.od-cdn.com/ImageType-100/1694-1/{C436991C-C679-4E7B-92E8-0751ABC88EB2}IMG100.JPG,On the Way to the Wedding,Julia Quinn,"Recorded Books, Inc.",9781980088028,"June 17, 2022 3:39",Borrowed,21 days,Spokane Public Library,"June 29, 2022 16:26",2022-07-08 3:39:00,12,371
139,https://img1.od-cdn.com/ImageType-100/0293-1/{62F13E30-3EDF-41E4-8F52-5D4612F07B3D}Img100.jpg,War Storm,Victoria Aveyard,HarperCollins,9780062423016,"June 17, 2022 2:38",Borrowed,21 days,Spokane Public Library,"June 28, 2022 14:29",2022-07-08 2:38:00,11,672
140,https://img1.od-cdn.com/ImageType-100/0293-1/{D116B3F2-4625-470C-A176-96C43E44F05B}Img100.jpg,King's Cage,Victoria Aveyard,HarperCollins,9780062310712,"June 17, 2022 2:38",Borrowed,21 days,Spokane Public Library,"July 01, 2022 19:24",2022-07-08 2:38:00,14,528
141,https://img1.od-cdn.com/ImageType-100/0293-1/{D1C2CBE7-A4FF-4DB8-AC13-240CE0C085C7}Img100.jpg,Glass Sword,Victoria Aveyard,HarperCollins,9780062310682,"June 17, 2022 2:38",Borrowed,21 days,Spokane Public Library,"June 26, 2022 23:00",2022-07-08 2:38:00,9,444
142,https://img1.od-cdn.com/ImageType-100/1493-1/{AE68A4DA-51F8-4BE3-B978-4F7E56D3A775}Img100.jpg,The Atlas Six,Olivie Blake,Macmillan Audio,9781250860460,"June 16, 2022 2:24",Borrowed,21 days,Spokane Public Library,"July 07, 2022 2:24",2022-07-07 2:24:00,21,373
143,https://img1.od-cdn.com/ImageType-100/1191-1/{B2DBD657-2223-4221-A0A1-8DBC9EDBAB51}Img100.jpg,Inheritance,Christopher Paolini,Books on Tape,9780739372494,"June 16, 2022 0:52",Borrowed,21 days,Spokane Public Library,"July 03, 2022 15:26",2022-07-07 0:52:00,17,860
144,https://img1.od-cdn.com/ImageType-100/1191-1/{46839368-0F48-40BC-B80B-34CE507E9409}Img100.jpg,Eldest,Christopher Paolini,Books on Tape,9780739338582,"June 16, 2022 0:51",Borrowed,21 days,Spokane Public Library,"July 07, 2022 0:51",2022-07-07 0:51:00,21,704
145,https://img1.od-cdn.com/ImageType-100/1219-1/{2E788F69-82E8-4A42-B902-A8A896D49D2E}Img100.jpg,Crave,Tracy Wolff,"Tantor Media, Inc.",9781705219607,"June 12, 2022 22:28",Borrowed,21 days,Spokane Public Library,"June 30, 2022 22:48",2022-07-03 22:28:00,18,571
