,cover,title,author,publisher,isbn,timestamp,activity,details,library,return_date,due_date,score,number_of_pages
45,https://img1.od-cdn.com/ImageType-100/1493-1/{E55BD724-CEC3-455D-871E-AD3F57E00134}IMG100.JPG,Legends & Lattes,Travis Baldree,Macmillan Audio,9781250889652,"January 10, 2023 1:38",Borrowed,21 days,Spokane Public Library,"January 26, 2023 15:56",2023-01-31 1:38:00,16,305
46,https://img1.od-cdn.com/ImageType-100/1523-1/{4F7801C0-ACDC-4CC6-AF28-95D196D3C965}Img100.jpg,Big Magic,Elizabeth Gilbert,Penguin Publishing Group,9780698408319,"January 10, 2023 1:37",Borrowed,21 days,Spokane Public Library,"January 28, 2023 16:00",2023-01-31 1:37:00,18,288
47,https://img1.od-cdn.com/ImageType-100/2183-1/{2BD8B36C-3BF3-4339-8E08-F895883822C5}Img100.jpg,House of Sky and Breath,Sarah J. Maas,Bloomsbury Publishing,9781635574081,"January 09, 2023 3:22",Borrowed,21 days,Spokane Public Library,"January 28, 2023 16:00",2023-01-30 3:22:00,19,768
48,https://img1.od-cdn.com/ImageType-100/0293-1/{18AA2FBD-D700-4A92-BC5F-94B91030E2F1}IMG100.JPG,They Both Die at the End,Adam Silvera,HarperCollins,9780062457813,"January 07, 2023 0:07",Borrowed,21 days,Spokane Public Library,"January 04, 2023 16:59",2023-01-28 0:07:00,-3,368
49,https://img1.od-cdn.com/ImageType-100/5054-1/{8A6C7499-FC93-4ACB-A72E-FF3A85DED1A6}IMG100.JPG,I'm Glad My Mom Died,Jennette McCurdy,Simon & Schuster Audio,9781797147949,"January 06, 2023 0:50",Borrowed,21 days,Spokane Public Library,"November 14, 2022 16:27",2023-01-27 0:50:00,-53,304
50,https://img1.od-cdn.com/ImageType-100/1523-1/{B1C350B4-AE25-4202-9B05-11DE643E8A40}Img100.jpg,Iron Widow,Xiran Jay Zhao,Tundra Book Group,9780735269941,"January 04, 2023 23:31",Borrowed,21 days,Spokane Public Library,"December 10, 2022 2:36",2023-01-25 23:31:00,-26,394
51,https://img1.od-cdn.com/ImageType-100/1694-1/{937D1040-5B83-4F36-B623-3710EF53E5B5}IMG100.JPG,Network Effect,Martha Wells,"Recorded Books, Inc.",9781980021711,"January 04, 2023 23:31",Borrowed,21 days,Spokane Public Library,"December 14, 2022 14:50",2023-01-25 23:31:00,-22,352
52,https://img1.od-cdn.com/ImageType-100/0111-1/{08EBF66D-F705-4DCE-AE80-32F8B8DFCD97}Img100.jpg,When Women Were Dragons,Kelly Barnhill,Knopf Doubleday Publishing Group,9780385548236,"January 01, 2023 18:30",Borrowed,21 days,Spokane Public Library,"January 16, 2023 7:27",2023-01-22 18:30:00,14,352
53,https://img1.od-cdn.com/ImageType-100/1694-1/{B462AC21-6327-4E02-8512-6B96782F087B}IMG100.JPG,Fugitive Telemetry,Martha Wells,"Recorded Books, Inc.",9781980080633,"December 31, 2022 20:58",Borrowed,21 days,Spokane Public Library,"December 14, 2022 14:50",2023-01-21 20:58:00,-18,176
54,https://img1.od-cdn.com/ImageType-100/1191-1/{0A760D6B-F864-4E95-89C6-E1E3ED6964AE}Img100.jpg,Aurora Burning,"Amie Kaufman, Jay Kristoff",Books on Tape,9781524780814,"December 29, 2022 19:31",Borrowed,21 days,Spokane Public Library,"January 09, 2023 1:18",2023-01-19 19:31:00,10,495
55,https://img1.od-cdn.com/ImageType-100/0293-1/{AA05D4F9-2E76-4C3B-BB40-81B8D2DAF178}Img100.jpg,They Both Die at the End,Adam Silvera,Quill Tree Books,9780062740694,"December 25, 2022 19:54",Borrowed,21 days,Spokane Public Library,"January 04, 2023 16:59",2023-01-15 19:54:00,9,368
56,https://img1.od-cdn.com/ImageType-100/0955-1/{B9C64692-B54B-4635-8155-273B49242F02}Img100.jpg,Ever After,Olivia Vieweg,Lerner Publishing Group,9781728405292,"December 21, 2022 18:06",Borrowed,21 days,Spokane Public Library,,2023-01-11 18:06:00,77,288
57,https://img1.od-cdn.com/ImageType-100/1694-1/{93E0A6EB-2567-4B58-9D2F-F9D6F82E9010}IMG100.JPG,Exit Strategy,Martha Wells,"Recorded Books, Inc.",9781501999994,"December 16, 2022 3:29",Borrowed,21 days,Spokane Public Library,"December 24, 2022 18:40",2023-01-06 3:29:00,8,163
58,https://img1.od-cdn.com/ImageType-100/0293-1/{18AA2FBD-D700-4A92-BC5F-94B91030E2F1}IMG100.JPG,They Both Die at the End,Adam Silvera,HarperCollins,9780062457813,"December 14, 2022 16:59",Borrowed,21 days,Spokane Public Library,"January 04, 2023 16:59",2023-01-04 16:59:00,21,368
59,https://img1.od-cdn.com/ImageType-100/1523-1/{B1C350B4-AE25-4202-9B05-11DE643E8A40}Img100.jpg,Iron Widow,Xiran Jay Zhao,Tundra Book Group,9780735269941,"December 14, 2022 14:48",Borrowed,21 days,Spokane Public Library,"December 10, 2022 2:36",2023-01-04 14:48:00,-5,394
60,https://img1.od-cdn.com/ImageType-100/1191-1/{DF1B8FC5-DC96-4D0B-9926-70DDB547F82A}Img100.jpg,When Women Were Dragons,Kelly Barnhill,Books on Tape,9780593589311,"December 11, 2022 15:03",Borrowed,21 days,Spokane Public Library,"January 16, 2023 7:27",2023-01-01 15:03:00,35,352
61,https://img1.od-cdn.com/ImageType-100/1191-1/{73395B7C-95D8-4B97-918E-82B70F392489}Img100.jpg,Aurora Rising,"Amie Kaufman, Jay Kristoff",Books on Tape,9781524780777,"December 11, 2022 2:37",Borrowed,21 days,Spokane Public Library,"December 29, 2022 19:32",2023-01-01 2:37:00,18,480
62,https://img1.od-cdn.com/ImageType-100/0017-1/{C004A7DA-8984-43AE-8AB8-DAF199A8BE19}Img100.jpg,Life and Death,Stephenie Meyer,"Little, Brown Books for Young Readers",9780316557955,"December 10, 2022 15:50",Borrowed,21 days,Spokane Public Library,"November 09, 2022 5:53",2022-12-31 15:50:00,-32,387
63,https://img1.od-cdn.com/ImageType-100/0293-1/{1946599C-2AB7-49DC-A5A9-1F4C3DD9C5D0}Img100.jpg,The Alchemist,Paulo Coelho,HarperCollins,9780062416216,"December 07, 2022 5:27",Borrowed,21 days,Spokane Public Library,"December 28, 2022 5:27",2022-12-28 5:27:00,21,167
64,https://img1.od-cdn.com/ImageType-100/2343-1/{F08B276C-0493-4577-B907-229F15A3DC7B}Img100.jpg,Then She Was Gone,Lisa Jewell,Dreamscape Media,9781666605266,"December 06, 2022 17:17",Borrowed,21 days,Spokane Public Library,"December 24, 2022 18:40",2022-12-27 17:17:00,18,359
65,https://img1.od-cdn.com/ImageType-100/1694-1/{B462AC21-6327-4E02-8512-6B96782F087B}IMG100.JPG,Fugitive Telemetry,Martha Wells,"Recorded Books, Inc.",9781980080633,"December 01, 2022 17:03",Borrowed,21 days,Spokane Public Library,"December 14, 2022 14:50",2022-12-22 17:03:00,12,176
66,https://img1.od-cdn.com/ImageType-100/1694-1/{937D1040-5B83-4F36-B623-3710EF53E5B5}IMG100.JPG,Network Effect,Martha Wells,"Recorded Books, Inc.",9781980021711,"December 01, 2022 17:03",Borrowed,21 days,Spokane Public Library,"December 14, 2022 14:50",2022-12-22 17:03:00,12,352
67,https://img1.od-cdn.com/ImageType-100/1694-1/{7CBFB589-F059-46B8-A33C-247D3F2A1DA3}IMG100.JPG,Artificial Condition,Martha Wells,"Recorded Books, Inc.",9781501977831,"November 27, 2022 16:54",Borrowed,21 days,Spokane Public Library,"November 12, 2022 23:57",2022-12-18 16:54:00,-15,160
68,https://img1.od-cdn.com/ImageType-100/0017-1/{30D8C23A-48DA-4E98-8034-C7C8AFDD81C6}IMG100.JPG,The Hawthorne Legacy,Jennifer Lynn Barnes,"Little, Brown Books for Young Readers",9780759557642,"November 27, 2022 5:27",Borrowed,21 days,Spokane Public Library,"December 07, 2022 5:23",2022-12-18 5:27:00,9,358
69,https://img1.od-cdn.com/ImageType-100/1219-1/{3E34E5ED-11B8-43B4-B838-621F65940A94}Img100.jpg,Gulp,Mary Roach,"Tantor Media, Inc.",9781452683423,"November 24, 2022 18:56",Borrowed,21 days,Spokane Public Library,"December 10, 2022 20:51",2022-12-15 18:56:00,16,348
70,https://img1.od-cdn.com/ImageType-100/0017-1/{02EAC8C0-8A00-4CE3-96C0-59EF3A724D3A}IMG100.JPG,The Inheritance Games,Jennifer Lynn Barnes,"Little, Brown Books for Young Readers",9781368053242,"November 23, 2022 1:12",Borrowed,21 days,Spokane Public Library,"December 03, 2022 15:59",2022-12-14 1:12:00,10,376
71,https://img1.od-cdn.com/ImageType-100/1694-1/{D101C7AD-39B9-4478-822F-25A1ADE8683A}IMG100.JPG,Rogue Protocol,Martha Wells,"Recorded Books, Inc.",9781501999796,"November 22, 2022 0:51",Borrowed,21 days,Spokane Public Library,"December 03, 2022 5:16",2022-12-13 0:51:00,11,160
72,https://img1.od-cdn.com/ImageType-100/1523-1/{B1C350B4-AE25-4202-9B05-11DE643E8A40}Img100.jpg,Iron Widow,Xiran Jay Zhao,Tundra Book Group,9780735269941,"November 19, 2022 2:36",Borrowed,21 days,Spokane Public Library,"December 10, 2022 2:36",2022-12-10 2:36:00,21,394
73,https://img1.od-cdn.com/ImageType-100/0174-1/{FD561CEF-0554-4F97-BA7D-AFEFAC15B30D}Img100.jpg,Five Total Strangers,Natalie D. Richards,Sourcebooks,9781492657224,"November 15, 2022 5:30",Borrowed,21 days,Spokane Public Library,"December 03, 2022 15:59",2022-12-06 5:30:00,18,302
74,https://img1.od-cdn.com/ImageType-100/0017-1/{0F9A352C-CEC8-4C21-A678-CB631612897C}IMG100.JPG,Beyond the Wand,Tom Felton,Grand Central Publishing,9781538741382,"October 29, 2022 21:21",Borrowed,21 days,Spokane Public Library,"November 17, 2022 1:40",2022-11-19 21:21:00,18,288
75,https://img1.od-cdn.com/ImageType-100/1493-1/{89982688-BBA9-4BB4-A815-5848EBC17F29}Img100.jpg,The Great Alone,Kristin Hannah,Macmillan Audio,9781427287540,"October 29, 2022 14:55",Borrowed,21 days,Spokane Public Library,"November 17, 2022 1:40",2022-11-19 14:55:00,18,440
76,https://img1.od-cdn.com/ImageType-100/5054-1/{8A6C7499-FC93-4ACB-A72E-FF3A85DED1A6}IMG100.JPG,I'm Glad My Mom Died,Jennette McCurdy,Simon & Schuster Audio,9781797147949,"October 24, 2022 16:27",Borrowed,21 days,Spokane Public Library,"November 14, 2022 16:27",2022-11-14 16:27:00,21,304
77,https://img1.od-cdn.com/ImageType-100/1191-1/{D9B7175A-C3F7-4C94-96AF-9E9EE6FA595E}Img100.jpg,The Final Girl Support Group,Grady Hendrix,Books on Tape,9780593410035,"October 24, 2022 13:41",Borrowed,21 days,Spokane Public Library,"October 20, 2022 1:17",2022-11-14 13:41:00,-5,342
78,https://img1.od-cdn.com/ImageType-100/1694-1/{7CBFB589-F059-46B8-A33C-247D3F2A1DA3}IMG100.JPG,Artificial Condition,Martha Wells,"Recorded Books, Inc.",9781501977831,"October 22, 2022 23:57",Borrowed,21 days,Spokane Public Library,"November 12, 2022 23:57",2022-11-12 23:57:00,21,160
79,https://img1.od-cdn.com/ImageType-100/0017-1/{C004A7DA-8984-43AE-8AB8-DAF199A8BE19}Img100.jpg,Life and Death,Stephenie Meyer,"Little, Brown Books for Young Readers",9780316557955,"October 22, 2022 4:00",Borrowed,21 days,Spokane Public Library,"November 09, 2022 5:53",2022-11-12 4:00:00,18,387
80,https://img1.od-cdn.com/ImageType-100/1694-1/{416729FE-7FE4-43A5-84EC-10896FAA9FC4}IMG100.JPG,All Systems Red,Martha Wells,"Recorded Books, Inc.",9781501977824,"October 08, 2022 0:08",Borrowed,21 days,Spokane Public Library,"October 24, 2022 13:42",2022-10-29 0:08:00,16,144
81,https://img1.od-cdn.com/ImageType-100/1219-1/{2A8E1816-FC76-4609-922D-A0E0377A73C1}IMG100.JPG,Court,Tracy Wolff,"Tantor Media, Inc.",9781705276464,"October 01, 2022 20:59",Borrowed,21 days,Spokane Public Library,"September 10, 2022 0:26",2022-10-22 20:59:00,-22,707
82,https://img1.od-cdn.com/ImageType-100/1219-1/{6DD9C963-FFD8-4D1B-AAE4-79C8813A1CD4}Img100.jpg,Covet,Tracy Wolff,"Tantor Media, Inc.",9781705219645,"September 29, 2022 20:37",Borrowed,21 days,Spokane Public Library,"July 11, 2022 4:48",2022-10-20 20:37:00,-81,704
83,https://img1.od-cdn.com/ImageType-100/1191-1/{D9B7175A-C3F7-4C94-96AF-9E9EE6FA595E}Img100.jpg,The Final Girl Support Group,Grady Hendrix,Books on Tape,9780593410035,"September 29, 2022 20:33",Borrowed,21 days,Spokane Public Library,"October 20, 2022 1:17",2022-10-20 20:33:00,20,342
84,https://img1.od-cdn.com/ImageType-100/1219-1/{5F259804-BCE3-42D9-A374-1D18FAEA34B3}Img100.jpg,"Harry, a History",Melissa Anelli,"Tantor Media, Inc.",9781400181629,"September 23, 2022 15:23",Borrowed,21 days,Spokane Public Library,"October 14, 2022 15:23",2022-10-14 15:23:00,21,368
85,https://img1.od-cdn.com/ImageType-100/0293-1/{8809BC36-EB29-4964-B022-D2A68D9F3445}IMG100.JPG,The Poppy War,R. F. Kuang,HarperAudio,9780062848789,"September 23, 2022 15:22",Borrowed,21 days,Spokane Public Library,"August 15, 2022 18:23",2022-10-14 15:22:00,-39,545
86,https://img1.od-cdn.com/ImageType-100/1219-1/{2A8E1816-FC76-4609-922D-A0E0377A73C1}IMG100.JPG,Court,Tracy Wolff,"Tantor Media, Inc.",9781705276464,"September 18, 2022 14:50",Borrowed,21 days,Spokane Public Library,"September 10, 2022 0:26",2022-10-09 14:50:00,-9,707
87,https://img1.od-cdn.com/ImageType-100/1219-1/{02EF0750-A967-493C-AA14-B292C33C1DC3}Img100.jpg,Crush,Tracy Wolff,"Tantor Media, Inc.",9781705219621,"September 16, 2022 20:56",Borrowed,21 days,Spokane Public Library,"August 11, 2022 21:42",2022-10-07 20:56:00,-36,704
88,https://img1.od-cdn.com/ImageType-100/1219-1/{2E788F69-82E8-4A42-B902-A8A896D49D2E}Img100.jpg,Crave,Tracy Wolff,"Tantor Media, Inc.",9781705219607,"September 16, 2022 20:56",Borrowed,21 days,Spokane Public Library,"June 30, 2022 22:48",2022-10-07 20:56:00,-78,571
89,https://img1.od-cdn.com/ImageType-100/1219-1/{6DD9C963-FFD8-4D1B-AAE4-79C8813A1CD4}Img100.jpg,Covet,Tracy Wolff,"Tantor Media, Inc.",9781705219645,"September 16, 2022 20:55",Borrowed,21 days,Spokane Public Library,"July 11, 2022 4:48",2022-10-07 20:55:00,-68,704
90,https://img1.od-cdn.com/ImageType-100/1837-1/{484A05C8-0A4E-4D28-B7C9-0DDCFD2C77B8}Img100.jpg,Ballad of Songbirds and Snakes,Suzanne Collins,Scholastic Inc.,9781338635201,"September 11, 2022 20:41",Borrowed,21 days,Spokane Public Library,"August 06, 2022 19:12",2022-10-02 20:41:00,-37,517
91,https://img1.od-cdn.com/ImageType-100/2389-1/{6A600B7A-AFDA-4F0F-A32C-5BE178267B0E}Img100.jpg,Pride and Prejudice,Jane Austen,Duke Classics,,"September 11, 2022 20:40",Borrowed,21 days,Spokane Public Library,"August 06, 2022 19:12",2022-10-02 20:40:00,-37,364
92,https://img1.od-cdn.com/ImageType-100/1219-1/{D8605BF8-EEFF-4F8E-9FC4-D19E0DAE1653}Img100.jpg,The Neverending Story,Michael Ende,"Tantor Media, Inc.",,"September 03, 2022 4:21",Borrowed,21 days,Spokane Public Library,"August 31, 2022 1:36",2022-09-24 4:21:00,-4,400
93,https://img1.od-cdn.com/ImageType-100/1493-1/{C80F4803-3755-45C4-AFBD-68175C4A6C3D}Img100.jpg,Reckless Girls,Rachel Hawkins,Macmillan Audio,9781250835581,"August 26, 2022 2:43",Borrowed,21 days,Spokane Public Library,"September 11, 2022 19:21",2022-09-16 2:43:00,16,320
94,https://img1.od-cdn.com/ImageType-100/0439-1/{5B6BB9CD-6C46-4ABB-9508-91909391AE03}Img100.jpg,This Is How You Lose the Time War,"Amal El-Mohtar, Max Gladstone",Gallery / Saga Press,9781534431010,"August 24, 2022 2:13",Borrowed,21 days,Spokane Public Library,"August 24, 2022 2:14",2022-09-14 2:13:00,0,208
95,https://img1.od-cdn.com/ImageType-100/1219-1/{2A8E1816-FC76-4609-922D-A0E0377A73C1}IMG100.JPG,Court,Tracy Wolff,"Tantor Media, Inc.",9781705276464,"August 21, 2022 14:49",Borrowed,21 days,Spokane Public Library,"September 10, 2022 0:26",2022-09-11 14:49:00,19,707
96,https://img1.od-cdn.com/ImageType-100/1219-1/{6DD9C963-FFD8-4D1B-AAE4-79C8813A1CD4}Img100.jpg,Covet,Tracy Wolff,"Tantor Media, Inc.",9781705219645,"August 21, 2022 14:49",Borrowed,21 days,Spokane Public Library,"July 11, 2022 4:48",2022-09-11 14:49:00,-42,704
97,https://img1.od-cdn.com/ImageType-100/1219-1/{2E788F69-82E8-4A42-B902-A8A896D49D2E}Img100.jpg,Crave,Tracy Wolff,"Tantor Media, Inc.",9781705219607,"August 16, 2022 2:11",Borrowed,21 days,Spokane Public Library,"June 30, 2022 22:48",2022-09-06 2:11:00,-47,571
98,https://img1.od-cdn.com/ImageType-100/1493-1/{AE68A4DA-51F8-4BE3-B978-4F7E56D3A775}Img100.jpg,The Atlas Six,Olivie Blake,Macmillan Audio,9781250860460,"August 12, 2022 17:08",Borrowed,21 days,Spokane Public Library,"July 07, 2022 2:24",2022-09-02 17:08:00,-37,373
99,https://img1.od-cdn.com/ImageType-100/1219-1/{D8605BF8-EEFF-4F8E-9FC4-D19E0DAE1653}Img100.jpg,The Neverending Story,Michael Ende,"Tantor Media, Inc.",,"August 12, 2022 4:10",Borrowed,21 days,Spokane Public Library,"August 31, 2022 1:36",2022-09-02 4:10:00,18,400
100,https://img1.od-cdn.com/ImageType-100/1191-1/{B2DBD657-2223-4221-A0A1-8DBC9EDBAB51}Img100.jpg,Inheritance,Christopher Paolini,Books on Tape,9780739372494,"August 11, 2022 21:41",Borrowed,21 days,Spokane Public Library,"July 03, 2022 15:26",2022-09-01 21:41:00,-40,860
101,https://img1.od-cdn.com/ImageType-100/1493-1/{DF111916-863C-4EA8-82C8-D2FF21895AEB}Img100.jpg,Book of Night,Holly Black,Macmillan Audio,9781250850133,"August 06, 2022 19:11",Borrowed,21 days,Spokane Public Library,"August 15, 2022 18:24",2022-08-27 19:11:00,8,306
102,https://img1.od-cdn.com/ImageType-100/1191-1/{46839368-0F48-40BC-B80B-34CE507E9409}Img100.jpg,Eldest,Christopher Paolini,Books on Tape,9780739338582,"August 05, 2022 0:10",Borrowed,21 days,Spokane Public Library,"July 07, 2022 0:51",2022-08-26 0:10:00,-29,704
103,https://img1.od-cdn.com/ImageType-100/1191-1/{6FDDBB54-9FE0-4C80-8E38-4035EB0DF636}Img100.jpg,"My Sister, the Serial Killer",Oyinkan Braithwaite,Books on Tape,9780525643289,"July 29, 2022 4:55",Borrowed,21 days,Spokane Public Library,"August 21, 2022 14:49",2022-08-19 4:55:00,23,226
104,https://img1.od-cdn.com/ImageType-100/1219-1/{02EF0750-A967-493C-AA14-B292C33C1DC3}Img100.jpg,Crush,Tracy Wolff,"Tantor Media, Inc.",9781705219621,"July 28, 2022 3:28",Borrowed,21 days,Spokane Public Library,"August 11, 2022 21:42",2022-08-18 3:28:00,14,704
105,https://img1.od-cdn.com/ImageType-100/0293-1/{8809BC36-EB29-4964-B022-D2A68D9F3445}IMG100.JPG,The Poppy War,R. F. Kuang,HarperAudio,9780062848789,"July 27, 2022 13:52",Borrowed,21 days,Spokane Public Library,"August 15, 2022 18:23",2022-08-17 13:52:00,19,545
106,https://img1.od-cdn.com/ImageType-100/0887-1/{22E6129F-7619-48D4-B55B-492885C66581}Img100.jpg,The Cruel Prince,Holly Black,Hachette Audio,9781478923749,"July 25, 2022 16:08",Borrowed,21 days,Spokane Public Library,"August 11, 2022 21:41",2022-08-15 16:08:00,17,384
107,https://img1.od-cdn.com/ImageType-100/1837-1/{484A05C8-0A4E-4D28-B7C9-0DDCFD2C77B8}Img100.jpg,Ballad of Songbirds and Snakes,Suzanne Collins,Scholastic Inc.,9781338635201,"July 20, 2022 14:44",Borrowed,21 days,Spokane Public Library,"August 06, 2022 19:12",2022-08-10 14:44:00,17,517
108,https://img1.od-cdn.com/ImageType-100/2389-1/{6A600B7A-AFDA-4F0F-A32C-5BE178267B0E}Img100.jpg,Pride and Prejudice,Jane Austen,Duke Classics,,"July 20, 2022 14:43",Borrowed,21 days,Spokane Public Library,"August 06, 2022 19:12",2022-08-10 14:43:00,17,364
109,https://img1.od-cdn.com/ImageType-100/1191-1/{51FBBA58-7F48-45E0-92F6-1E8868971F7C}Img100.jpg,Brisingr,Christopher Paolini,Books on Tape,9780739368053,"July 20, 2022 14:40",Borrowed,21 days,Spokane Public Library,"July 03, 2022 15:28",2022-08-10 14:40:00,-17,763
110,https://img1.od-cdn.com/ImageType-100/0293-1/{B8909201-82ED-469F-8371-5D0AAA679F4D}Img100.jpg,War Storm,Victoria Aveyard,HarperCollins,9780062841704,"July 18, 2022 15:28",Borrowed,21 days,Spokane Public Library,"June 28, 2022 14:29",2022-08-08 15:28:00,-21,672
111,https://img1.od-cdn.com/ImageType-100/0887-1/{5EA340CF-782F-4B9A-BCE7-1C92DC075F35}Img100.jpg,The Wicked King,Holly Black,Hachette Audio,9781549171321,"July 18, 2022 1:34",Borrowed,21 days,Spokane Public Library,"July 18, 2022 1:33",2022-08-08 1:34:00,-1,336
112,https://img1.od-cdn.com/ImageType-100/0887-1/{5EA340CF-782F-4B9A-BCE7-1C92DC075F35}Img100.jpg,The Wicked King,Holly Black,Hachette Audio,9781549171321,"July 18, 2022 1:33",Borrowed,21 days,Spokane Public Library,"July 18, 2022 1:33",2022-08-08 1:33:00,0,336
113,https://img1.od-cdn.com/ImageType-100/1191-1/{729E9EB8-FFEE-44E3-B4EC-43F853CCFC0B}Img100.jpg,The Last Graduate,Naomi Novik,Books on Tape,9780593287439,"July 14, 2022 21:57",Borrowed,21 days,Spokane Public Library,"July 09, 2022 3:54",2022-08-04 21:57:00,-6,388
114,https://img1.od-cdn.com/ImageType-100/1493-1/{458001FE-0B3D-4F13-98F2-77E495D9B084}IMG100.JPG,The Invisible Life of Addie LaRue,V. E. Schwab,Macmillan Audio,9781250777959,"July 14, 2022 1:03",Borrowed,21 days,Spokane Public Library,"July 30, 2022 3:20",2022-08-04 1:03:00,16,444
115,https://img1.od-cdn.com/ImageType-100/1493-1/{AE68A4DA-51F8-4BE3-B978-4F7E56D3A775}Img100.jpg,The Atlas Six,Olivie Blake,Macmillan Audio,9781250860460,"July 11, 2022 20:05",Borrowed,21 days,Spokane Public Library,"July 07, 2022 2:24",2022-08-01 20:05:00,-5,373
